bag_color
"['green', 'white']"
"['yellow', 'green']"
"['blue', 'yellow']"
"['red', 'yellow']"
"['white', 'red']"
"['blue', 'white']"
"['white', 'red']"
"['blue', 'yellow']"
"['yellow', 'red']"
"['black', 'green']"
"['blue', 'white']"
"['red', 'green']"
"['blue', 'green']"
"['red', 'white']"
"['yellow', 'blue']"
"['yellow', 'red']"
"['white', 'black']"
"['yellow', 'blue']"
"['green', 'yellow']"
"['blue', 'black']"
"['red', 'blue']"
"['white', 'yellow']"
"['green', 'yellow']"
"['red', 'white']"
"['green', 'red']"
"['black', 'red']"
"['white', 'green']"
"['black', 'blue']"
"['yellow', 'green']"
"['blue', 'white']"
"['black', 'red']"
"['blue', 'yellow']"
"['yellow', 'blue']"
"['blue', 'black']"
"['white', 'yellow']"
"['yellow', 'blue']"
"['black', 'yellow']"
"['black', 'white']"
"['green', 'black']"
"['black', 'blue']"
"['white', 'yellow']"
"['yellow', 'green']"
"['green', 'yellow']"
"['yellow', 'red']"
"['green', 'red']"
"['blue', 'yellow']"
"['yellow', 'blue']"
"['white', 'black']"
"['green', 'white']"
"['yellow', 'blue']"
"['black', 'red']"
"['red', 'white']"
"['blue', 'white']"
"['white', 'black']"
"['yellow', 'blue']"
"['green', 'black']"
"['black', 'blue']"
"['blue', 'yellow']"
"['red', 'white']"
"['white', 'red']"
"['green', 'blue']"
"['red', 'yellow']"
"['green', 'blue']"
"['black', 'white']"
"['white', 'blue']"
"['black', 'green']"
"['blue', 'yellow']"
"['yellow', 'white']"
"['yellow', 'green']"
"['blue', 'black']"
"['black', 'green']"
"['red', 'blue']"
"['red', 'blue']"
"['yellow', 'black']"
"['red', 'black']"
"['blue', 'green']"
"['white', 'black']"
"['yellow', 'white']"
"['green', 'white']"
"['green', 'red']"
"['white', 'yellow']"
"['blue', 'black']"
"['blue', 'red']"
"['blue', 'green']"
"['green', 'white']"
"['black', 'red']"
"['green', 'black']"
"['red', 'blue']"
"['blue', 'green']"
"['blue', 'green']"
"['green', 'white']"
"['yellow', 'blue']"
"['black', 'red']"
"['red', 'black']"
"['black', 'green']"
"['blue', 'red']"
"['green', 'black']"
"['green', 'white']"
"['white', 'blue']"
"['green', 'yellow']"
"['yellow', 'green']"
"['white', 'yellow']"
"['red', 'white']"
"['blue', 'white']"
"['white', 'blue']"
"['white', 'black']"
"['black', 'red']"
"['red', 'green']"
"['yellow', 'black']"
